Timestamp,Level of effort instructor put into the course [Level of effort instructor put into the course],Contribution of course to your skill/knowledge [Contribution of course to your skill/knowledge],Skill and responsiveness of the instructor [Instructor was an effective lecturer/demonstrator],Skill and responsiveness of the instructor [Presentations were clear and organized],Skill and responsiveness of the instructor [Instructor stimulated student interest],Skill and responsiveness of the instructor [Instructor effectively used time during class periods],Skill and responsiveness of the instructor [Instructor was available and helpful],Skill and responsiveness of the instructor [Grading was prompt and had useful feedback],Course content [Learning objectives were clear],Course content [Course content was organized and well planned],Course content [Course workload was appropriate],Course content [Course organized to allow all students to participate fully],How would you rate the overall course?,What aspects of this course were most useful or valuable?,How would you improve this course?,Any other comments,Rating
7/17/2025 16:00:38,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very Good,Data science and concepts of regression.,"Excellent course thought by Sir. Nothing is required to improve as a course content and course delivery. 
Only myself need to learn and make use of what has been thought by excellent session of data science and machine learning by Dr Abdul Sir.",Learnt WEKA and Tableau tools,4
7/17/2025 16:00:43,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very Good,,,,4
7/17/2025 16:24:52,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very Good,most valuable and useful,,no,4
7/17/2025 16:26:52,Very good,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Very Good,Weka tool,no need of improvement,no,4
7/17/2025 16:28:15,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very Good,,,,4
7/17/2025 22:41:02,Excellent,Excellent,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Very Good,Enhancing the skills in Data Sciences and Machine Learning applications,Practicing more by using Python and weka tools.,Very good this course for me to explore in computing course.,4
7/17/2025 22:44:49,Excellent,Excellent,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Very Good,Enhancing the skills in Python for Data Sciences and Machine Learning applications,by practicing every day ,It is very useful for me to enhance skills in computing courses,4
7/18/2025 4:41:58,Excellent,Very good,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Very Good,"Very well organized and delivered
",by going into depth with more practical examples relating with concepts/basics of subject,very good program,4
7/18/2025 19:17:57,Very good,Very good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Very Good,Weka tool,More physical classes are to conducted for better explore,,4
7/21/2025 9:38:09,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very Good,Basics of data science,,,4
7/28/2025 19:01:44,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very Good,It is useful for our research work,By more practicing ,,4
